Height,MeanWidth,StdWidth,Q2D,dQdZ,CenterlineV,EntrainmentAlphaProxy
0,0.00846269662921348,0.0021940340709765,1.8388295966054e-08,-1.7741201933946e-06,2.25255223974753e-05,-0.0393802230662906
0.0079,0.00736426966292135,0.000902451475624517,4.37274643823667e-09,3.31963869424021e-07,4.33603516162446e-06,0.0382796560740588
0.0158,0.00955191011235955,0.00010452462536369,2.36333251029536e-08,5.90450822257511e-07,1.30467336583004e-05,0.0226283006046447
0.0237,0.00426202247191011,0.000762535156146089,1.37018694299053e-08,-6.9854442247872e-07,1.73204829602429e-05,-0.0201652697584168
0.0316,0.0107748314606742,0.000816659467277815,1.25963232277898e-08,-5.79001484945352e-07,5.74185115316611e-06,-0.0504194091330707
0.0395,0.00982404494382023,0.00193656885157601,4.55364596776879e-09,3.09181418375503e-07,4.2520220171702e-06,0.0363569869966558
0.0475,0.00535258426966292,0.00159682224417176,1.75123077799603e-08,0.0119096270318136,1.21731593618902e-05,489.175680600157
0.0554,0.00982112359550562,0.00210081571362594,0.000189367623451804,0.0131929305509237,0.0351829528808594,0.187490381998338
0.0633,0.0100379775280899,0.00196436048540256,0.000208465815012375,0.000533703328436791,0.0313232507598534,0.00851928384650344
0.0712,0.0111062921348315,0.0024565606138665,0.000197800136041106,-0.00161323831992203,0.0246452760160639,-0.0327291591068104
0.0791,0.0139624719101124,0.00355624158856773,0.000182976649557607,-0.00256762656153664,0.0202921685208096,-0.0632664409154583
0.087,0.0181521348314607,0.00315648569832995,0.000157231636368827,-0.0032588624289595,0.0131158625141958,-0.124233630286697
